timestamp,proc_stat_cpu_all,proc_stat_cpu_guest,proc_stat_cpu_idle,proc_stat_cpu_iowait,proc_stat_cpu_irq,proc_stat_cpu_nguest,proc_stat_cpu_nice,proc_stat_cpu_num,proc_stat_cpu_soft,proc_stat_cpu_steal,proc_stat_cpu_sys,proc_stat_cpu_user
1458857219,0,3,118,0,0,0,0,24,3,0,2,4
1458857220,10,2,90,0,0,0,0,24,2,0,1,2
1458857221,10,2,90,0,0,0,0,24,2,0,1,2
1458857222,11,3,89,0,0,0,0,24,2,0,1,3
1458857223,11,2,89,0,0,0,0,24,3,0,1,3
1458857224,10,2,90,0,0,0,0,24,3,0,1,3
1458857225,11,3,89,0,0,0,0,24,2,0,1,3
1458857226,10,2,90,0,0,0,0,24,2,0,1,2
1458857227,10,2,90,0,0,0,0,24,2,0,1,3
1458857228,10,3,90,0,0,0,0,24,3,0,1,3
1458857230,0,4,137,0,0,0,0,24,4,0,4,4
1458857231,9,2,91,0,0,0,0,24,3,0,1,2
1458857232,11,2,89,0,0,0,0,24,2,0,1,3
1458857233,11,2,89,0,0,0,0,24,3,0,1,3
1458857234,10,2,90,0,0,0,0,24,2,0,1,2
1458857235,11,2,89,0,0,0,0,24,2,0,1,3
1458857236,11,2,89,0,0,0,0,24,3,0,1,3
1458857237,10,2,90,0,0,0,0,24,2,0,1,2
1458857238,11,2,89,0,0,0,0,24,3,0,1,3
1458857239,11,2,89,0,0,0,0,24,2,0,1,3
1458857240,0,3,118,0,0,0,0,24,3,0,3,3
1458857241,10,2,90,0,0,0,0,24,3,0,1,2
1458857242,11,2,89,0,0,0,0,24,3,0,1,3
1458857243,9,2,91,0,0,0,0,24,2,0,1,3
1458857244,9,2,91,0,0,0,0,24,2,0,1,2
1458857245,9,2,91,0,0,0,0,24,2,0,1,3
1458857247,9,2,91,0,0,0,0,24,2,0,1,2
1458857248,9,2,91,0,0,0,0,24,2,0,1,2
1458857249,9,3,91,0,0,0,0,24,3,0,1,3
1458857250,10,2,90,0,0,0,0,24,3,0,1,2
1458857251,0,3,119,0,0,0,0,24,4,0,2,3
1458857252,11,2,89,0,0,0,0,24,3,0,1,3
1458857253,11,3,89,0,0,0,0,24,2,0,1,3
1458857254,10,2,90,0,0,0,0,24,2,0,1,3
1458857255,11,2,89,0,0,0,0,24,3,0,1,3
1458857256,11,3,89,0,0,0,0,24,2,0,1,3
1458857257,10,2,90,0,0,0,0,24,2,0,1,2
1458857258,10,2,90,0,0,0,0,24,2,0,1,3
1458857259,10,3,90,0,0,0,0,24,2,0,1,3
1458857260,10,2,90,0,0,0,0,24,2,0,1,2
1458857261,0,3,115,0,0,0,0,24,3,0,3,3
1458857262,10,2,90,0,0,0,0,24,2,0,1,3
1458857263,10,2,90,0,0,0,0,24,2,0,1,2
1458857264,10,2,90,0,0,0,0,24,2,0,1,2
1458857265,11,2,89,0,0,0,0,24,2,0,1,3
1458857266,9,2,91,0,0,0,0,24,2,0,1,2
1458857267,10,2,90,0,0,0,0,24,2,0,1,2
1458857268,10,3,90,0,0,0,0,24,2,0,1,3
1458857269,10,2,90,0,0,0,0,24,2,0,1,3
1458857270,10,2,90,0,0,0,0,24,2,0,1,2
1458857272,0,3,113,0,0,0,0,24,3,0,2,4
1458857273,9,2,91,0,0,0,0,24,2,0,1,3
1458857274,8,1,92,0,0,0,0,24,2,0,1,2
1458857275,9,2,91,0,0,0,0,24,2,0,1,3
1458857276,9,2,91,0,0,0,0,24,2,0,1,3
1458857277,8,1,92,0,0,0,0,24,2,0,1,2
1458857278,10,2,90,0,0,0,0,24,3,0,1,3
1458857279,8,2,92,0,0,0,0,24,2,0,1,2
1458857280,8,1,92,0,0,0,0,24,2,0,1,2
1458857281,9,2,91,0,0,0,0,24,3,0,1,3
1458857282,0,3,123,0,0,0,0,24,4,0,3,4
1458857283,10,2,90,0,0,0,0,24,2,0,1,3
1458857284,10,2,90,0,0,0,0,24,2,0,1,3
1458857285,11,3,89,0,0,0,0,24,3,0,1,3
1458857286,10,2,90,0,0,0,0,24,2,0,1,2
1458857287,10,2,90,0,0,0,0,24,2,0,1,2
1458857288,11,2,89,0,0,0,0,24,2,0,1,3
1458857289,10,2,90,0,0,0,0,24,2,0,1,2
1458857290,10,2,90,0,0,0,0,24,2,0,1,2
1458857291,11,2,89,0,0,0,0,24,2,0,1,3
1458857293,0,3,116,0,0,0,0,24,4,0,2,3
1458857294,10,2,90,0,0,0,0,24,3,0,1,2
1458857295,11,2,89,0,0,0,0,24,3,0,1,3
1458857296,10,2,90,0,0,0,0,24,2,0,1,2
1458857297,10,2,90,0,0,0,0,24,2,0,1,2
1458857298,11,3,89,0,0,0,0,24,3,0,1,3
1458857299,10,2,90,0,0,0,0,24,3,0,1,2
1458857300,10,2,90,0,0,0,0,24,2,0,1,2
1458857301,9,3,91,0,0,0,0,24,3,0,1,3
1458857302,9,2,91,0,0,0,0,24,2,0,1,2
1458857303,0,2,118,0,0,0,0,24,4,0,2,3
1458857304,9,2,91,0,0,0,0,24,2,0,1,3
1458857305,8,2,92,0,0,0,0,24,2,0,0,3
1458857306,8,1,92,0,0,0,0,24,2,0,1,2
1458857307,9,2,91,0,0,0,0,24,2,0,1,3
1458857308,9,2,91,0,0,0,0,24,2,0,1,2
1458857309,9,2,91,0,0,0,0,24,2,0,1,2
1458857310,9,2,91,0,0,0,0,24,2,0,1,2
1458857311,10,2,90,0,0,0,0,24,2,0,1,2
1458857312,10,2,90,0,0,0,0,24,3,0,1,2
1458857314,0,3,113,0,0,0,0,24,4,0,2,4
1458857315,10,2,90,0,0,0,0,24,3,0,1,3
1458857316,9,2,91,0,0,0,0,24,3,0,1,2
1458857317,8,2,92,0,0,0,0,24,2,0,1,2
1458857318,10,3,90,0,0,0,0,24,3,0,1,3
1458857319,9,2,91,0,0,0,0,24,2,0,1,2
1458857320,11,2,89,0,0,0,0,24,2,0,1,3
1458857321,10,3,90,0,0,0,0,24,3,0,1,3
1458857326,0,12,425,0,0,0,0,24,15,0,8,15
1458857327,11,2,89,0,0,0,0,24,3,0,1,3
1458857328,0,2,111,0,0,0,0,24,4,0,3,3
1458857329,12,2,88,0,0,0,0,24,3,0,1,3
1458857330,12,3,88,0,0,0,0,24,2,0,1,3
1458857331,10,2,90,0,0,0,0,24,3,0,1,2
1458857332,10,2,90,0,0,0,0,24,2,0,1,3
1458857333,10,2,90,0,0,0,0,24,2,0,1,2
1458857334,10,2,90,0,0,0,0,24,2,0,1,2
1458857335,10,3,90,0,0,0,0,24,2,0,1,3
1458857337,0,4,141,0,0,0,0,24,4,0,2,5
1458857338,11,2,89,0,0,0,0,24,2,0,1,3
1458857339,0,2,115,0,0,0,0,24,3,0,2,3
1458857340,9,2,91,0,0,0,0,24,2,0,1,2
1458857341,10,2,90,0,0,0,0,24,3,0,1,3
1458857342,8,1,92,0,0,0,0,24,2,0,1,2
1458857343,8,2,92,0,0,0,0,24,2,0,1,2
1458857344,9,2,91,0,0,0,0,24,2,0,1,3
1458857345,8,1,92,0,0,0,0,24,2,0,1,2
1458857346,9,2,91,0,0,0,0,24,2,0,1,2
1458857347,9,2,91,0,0,0,0,24,2,0,1,2
1458857348,8,2,92,0,0,0,0,24,2,0,1,2
1458857349,0,2,120,0,0,0,0,24,3,0,2,3
1458857350,9,2,91,0,0,0,0,24,2,0,1,3
1458857351,10,2,90,0,0,0,0,24,2,0,1,3
1458857352,9,2,91,0,0,0,0,24,3,0,1,2
1458857353,11,3,89,0,0,0,0,24,3,0,1,3
1458857354,10,2,90,0,0,0,0,24,2,0,1,2
1458857355,10,2,90,0,0,0,0,24,2,0,1,2
1458857356,11,3,89,0,0,0,0,24,3,0,1,3
1458857357,10,2,90,0,0,0,0,24,3,0,1,3
1458857358,10,2,90,0,0,0,0,24,2,0,1,2
1458857360,0,3,111,0,0,0,0,24,3,0,2,3
1458857361,11,3,89,0,0,0,0,24,3,0,1,3
1458857362,10,2,90,0,0,0,0,24,2,0,1,2
1458857363,11,2,89,0,0,0,0,24,2,0,1,3
1458857364,11,2,89,0,0,0,0,24,2,0,1,3
1458857365,9,1,91,0,0,0,0,24,2,0,1,2
1458857366,11,2,89,0,0,0,0,24,3,0,1,3
1458857367,10,2,90,0,0,0,0,24,2,0,1,3
1458857368,10,1,90,0,0,0,0,24,2,0,1,2
1458857369,11,2,89,0,0,0,0,24,2,0,1,3
1458857370,0,3,115,0,0,0,0,24,3,0,3,4
1458857371,9,2,91,0,0,0,0,24,2,0,1,2
1458857372,10,2,90,0,0,0,0,24,2,0,1,3
1458857373,11,2,89,0,0,0,0,24,2,0,1,3
1458857374,10,2,90,0,0,0,0,24,2,0,1,3
1458857375,9,2,91,0,0,0,0,24,2,0,1,2
1458857376,10,2,90,0,0,0,0,24,2,0,1,3
1458857377,9,2,91,0,0,0,0,24,2,0,1,2
1458857378,10,2,90,0,0,0,0,24,3,0,1,3
1458857379,10,3,90,0,0,0,0,24,2,0,1,3
1458857381,0,3,113,0,0,0,0,24,3,0,2,3
1458857382,9,1,91,0,0,0,0,24,3,0,1,2
1458857383,8,2,92,0,0,0,0,24,2,0,1,2
1458857384,8,2,92,0,0,0,0,24,2,0,1,2
1458857385,9,1,91,0,0,0,0,24,2,0,1,2
1458857386,9,2,91,0,0,0,0,24,3,0,0,3
1458857387,8,2,92,0,0,0,0,24,2,0,1,2
1458857388,9,2,91,0,0,0,0,24,2,0,1,2
1458857389,8,2,92,0,0,0,0,24,2,0,1,2
1458857390,8,1,92,0,0,0,0,24,2,0,1,2
1458857391,0,2,113,0,0,0,0,24,3,0,2,3
1458857392,10,2,90,0,0,0,0,24,2,0,1,3
1458857393,11,2,89,0,0,0,0,24,2,0,1,3
1458857394,11,2,89,0,0,0,0,24,2,0,1,2
1458857395,11,3,89,0,0,0,0,24,2,0,1,3
1458857396,12,2,88,0,0,0,0,24,2,0,1,3
1458857397,10,2,90,0,0,0,0,24,2,0,1,2
1458857398,11,2,89,0,0,0,0,24,2,0,1,3
1458857399,10,2,90,0,0,0,0,24,2,0,1,3
1458857400,11,2,89,0,0,0,0,24,3,0,1,2
1458857401,0,3,113,0,0,0,0,24,4,0,2,3
1458857402,9,2,91,0,0,0,0,24,2,0,1,3
1458857403,10,2,90,0,0,0,0,24,2,0,1,3
1458857404,10,2,90,0,0,0,0,24,2,0,1,3
1458857405,11,3,89,0,0,0,0,24,2,0,1,3
1458857406,9,2,91,0,0,0,0,24,2,0,1,2
1458857407,10,2,90,0,0,0,0,24,2,0,1,3
1458857408,10,3,90,0,0,0,0,24,2,0,1,3
1458857409,9,1,91,0,0,0,0,24,2,0,1,2
1458857410,9,2,91,0,0,0,0,24,2,0,1,2
1458857412,0,4,133,0,0,0,0,24,4,0,3,4
1458857413,10,2,90,0,0,0,0,24,2,0,1,3
1458857414,10,1,90,0,0,0,0,24,2,0,1,2
1458857415,10,3,90,0,0,0,0,24,2,0,1,3
1458857416,10,2,90,0,0,0,0,24,2,0,1,3
1458857417,9,2,91,0,0,0,0,24,2,0,1,2
